t;v
4.01;95.765
4.02;95.765
4.03;95.765
4.04;95.765
4.05;95.745
4.06;95.745
4.07;95.68
4.08;95.68
4.09;95.68
4.1;95.68
4.11;95.675
4.12;95.675
4.13;95.68
4.14;95.68
4.15;95.595
4.16;95.595
4.17;95.615
4.18;95.615
4.19;95.59
4.2;95.59
4.21;95.57
4.22;95.57
4.23;95.555
4.24;95.555
4.25;95.55
4.26;95.55
4.27;95.545
4.28;95.545
4.29;95.5
4.3;95.5
4.31;95.38
4.32;95.38
4.33;95.4
4.34;95.4
4.35;95.415
4.36;95.415
4.37;95.415
4.38;95.415
4.39;95.38
4.4;95.38
4.41;95.345
4.42;95.345
4.43;95.305
4.44;95.305
4.45;95.305
4.46;95.305
4.47;95.29
4.48;95.29
4.49;95.295
4.5;95.295
4.51;95.235
4.52;95.235
4.53;95.26
4.54;95.26
4.55;95.21
4.56;95.21
4.57;95.22
4.58;95.22
4.59;95.195
4.6;95.195
4.61;95.21
4.62;95.21
4.63;95.155
4.64;95.155
4.65;95.11
4.66;95.11
4.67;95.115
4.68;95.115
4.69;95.135
4.7;95.135
4.71;95.01
4.72;95.01
4.73;95.025
4.74;95.025
4.75;94.995
4.76;94.995
4.77;95.01
4.78;95.01
4.79;94.96
4.8;94.96
4.81;94.985
4.82;94.985
4.83;94.945
4.84;94.945
4.85;94.96
4.86;94.96
4.87;94.9
4.88;94.9
4.89;94.83
4.9;94.83
4.91;94.83
4.92;94.83
4.93;94.845
4.94;94.845
4.95;94.765
4.96;94.765
4.97;94.775
4.98;94.775
4.99;94.765
5;94.765
5.01;94.79
5.02;94.79
5.03;94.705
5.04;94.705
5.05;94.695
5.06;94.695
5.07;94.72
5.08;94.72
5.09;94.735
5.1;94.735
5.11;94.655
5.12;94.655
5.13;94.65
5.14;94.65
5.15;94.63
5.16;94.63
5.17;94.625
5.18;94.625
5.19;94.585
5.2;94.585
5.21;94.59
5.22;94.59
5.23;94.565
5.24;94.565
5.25;94.58
5.26;94.58
5.27;94.525
5.28;94.525
5.29;94.52
5.3;94.52
5.31;94.51
5.32;94.51
5.33;94.49
5.34;94.49
5.35;94.41
5.36;94.41
5.37;94.39
5.38;94.39
5.39;94.355
5.4;94.355
5.41;94.345
5.42;94.345
5.43;94.36
5.44;94.36
5.45;94.315
5.46;94.315
5.47;94.255
5.48;94.255
5.49;94.28
5.5;94.28
5.51;94.23
5.52;94.23
5.53;94.185
5.54;94.185
5.55;94.205
5.56;94.205
5.57;94.22
5.58;94.22
5.59;94.14
5.6;94.14
5.61;94.105
5.62;94.105
5.63;94.125
5.64;94.125
5.65;94.145
5.66;94.145
5.67;94.105
5.68;94.105
5.69;94.085
5.7;94.085
5.71;94.015
5.72;94.015
5.73;94.045
5.74;94.045
5.75;94.04
5.76;94.04
5.77;94
5.78;94
5.79;94.01
5.8;94.01
5.81;94.02
5.82;94.02
5.83;93.985
5.84;93.985
5.85;93.955
5.86;93.955
5.87;93.97
5.88;93.97
5.89;93.955
5.9;93.955
5.91;93.92
5.92;93.92
5.93;93.875
5.94;93.875
5.95;93.86
5.96;93.86
5.97;93.87
5.98;93.87
5.99;93.84
6;93.84
6.01;93.76
6.02;93.76
6.03;93.75
6.04;93.75
6.05;93.76
6.06;93.76
6.07;93.775
6.08;93.775
6.09;93.685
6.1;93.685
6.11;93.705
6.12;93.705
6.13;93.685
6.14;93.685
6.15;93.71
6.16;93.71
6.17;93.635
6.18;93.635
6.19;93.635
6.2;93.635
6.21;93.64
6.22;93.64
6.23;93.655
6.24;93.655
6.25;93.565
6.26;93.565
6.27;93.58
6.28;93.58
6.29;93.555
6.3;93.555
6.31;93.57
6.32;93.57
6.33;93.49
6.34;93.49
6.35;93.445
6.36;93.445
6.37;93.455
6.38;93.455
6.39;93.435
6.4;93.435
6.41;93.345
6.42;93.345
6.43;93.35
6.44;93.35
6.45;93.345
6.46;93.345
6.47;93.36
6.48;93.36
6.49;93.32
6.5;93.32
6.51;93.3
6.52;93.3
6.53;93.25
6.54;93.25
6.55;93.27
6.56;93.27
6.57;93.25
6.58;93.25
6.59;93.19
6.6;93.19
6.61;93.195
6.62;93.195
6.63;93.235
6.64;93.235
6.65;93.18
6.66;93.18
6.67;93.14
6.68;93.14
6.69;93.145
6.7;93.145
6.71;93.17
6.72;93.17
6.73;93.145
6.74;93.145
6.75;93.055
6.76;93.055
6.77;93.06
6.78;93.06
6.79;93.085
6.8;93.085
6.81;93.05
6.82;93.05
6.83;93
6.84;93
6.85;92.975
6.86;92.975
6.87;93
6.88;93
6.89;93.01
6.9;93.01
6.91;92.955
6.92;92.955
6.93;92.89
6.94;92.89
6.95;92.905
6.96;92.905
6.97;92.91
6.98;92.91
6.99;92.835
7;92.835
7.01;92.785
7.02;92.785
7.03;92.795
7.04;92.795
7.05;92.83
7.06;92.83
7.07;92.735
7.08;92.735
7.09;92.715
7.1;92.715
7.11;92.71
7.12;92.71
7.13;92.765
7.14;92.765
7.15;92.68
7.16;92.68
7.17;92.66
7.18;92.66
7.19;92.665
7.2;92.665
7.21;92.665
7.22;92.665
7.23;92.57
7.24;92.57
7.25;92.505
7.26;92.505
7.27;92.505
7.28;92.505
7.29;92.53
7.3;92.53
7.31;92.515
7.32;92.515
7.33;92.51
7.34;92.51
7.35;92.445
7.36;92.445
7.37;92.465
7.38;92.465
7.39;92.415
7.4;92.415
7.41;92.39
7.42;92.39
7.43;92.39
7.44;92.39
7.45;92.41
7.46;92.41
7.47;92.395
7.48;92.395
7.49;92.32
7.5;92.32
7.51;92.32
7.52;92.32
7.53;92.335
7.54;92.335
7.55;92.335
7.56;92.335
7.57;92.26
7.58;92.26
7.59;92.265
7.6;92.265
7.61;92.29
7.62;92.29
7.63;92.305
7.64;92.305
7.65;92.205
7.66;92.205
7.67;92.195
7.68;92.195
7.69;92.185
7.7;92.185
7.71;92.205
7.72;92.205
7.73;92.18
7.74;92.18
7.75;92.15
7.76;92.15
7.77;92.12
7.78;92.12
7.79;92.13
7.8;92.13
7.81;92.09
7.82;92.09
7.83;92.06
7.84;92.06
7.85;92.065
7.86;92.065
7.87;92.075
7.88;92.075
7.89;92.07
7.9;92.07
7.91;92.005
7.92;92.005
7.93;91.98
7.94;91.98
7.95;91.985
7.96;91.985
7.97;91.93
7.98;91.93
7.99;91.875
8;91.875
8.01;91.855
8.02;91.855
8.03;91.875
8.04;91.875
8.05;91.84
8.06;91.84
8.07;91.77
8.08;91.77
8.09;91.79
